otu;size;identity;phylum;class;order;family;genus;genus_0;genus_1
Otu041;16;Bacteria(100);Firmicutes(100);Erysipelotrichi(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Coprobacillus(100);Coprobacillus_unclassified(100);Coprobacillus_unclassified(100);
Otu042;15;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu043;15;Bacteria(100);TM7(100);TM7_genera_incertae_sedis(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);TM7_genera_incertae_sedis_unclassified(100);
Otu044;14;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu045;12;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu046;12;Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);
Otu047;11;Bacteria(100);Firmicutes(100);Clostridia(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);Clostridia_unclassified(100);
Otu048;9;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu049;8;Bacteria(100);Actinobacteria(100);Actinobacteria(100);Coriobacteridae(100);Coriobacteriales(100);Coriobacterineae(100);Coriobacteriaceae(100);Olsenella(100);
Otu050;6;Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);
Otu051;6;Bacteria(100);Firmicutes(100);Erysipelotrichi(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Erysipelotrichaceae_unclassified(100);Erysipelotrichaceae_unclassified(100);Erysipelotrichaceae_unclassified(100);
